,Скважина,Наличие ГТМ,Тип ГТМ,Дата начала,Дата окончания,Обоснование
283,40336,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
284,40355,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
285,40411,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
286,40438,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
287,40481,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
288,40485,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
289,40514,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
290,40604,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
291,40616,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
292,40662,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
293,40706,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
294,40719,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
295,40726,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
296,40939,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
297,43510,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
298,43635,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
299,43796,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
300,50638,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
301,51340,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
302,60018,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
303,61005,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
304,65153,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
305,65223,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
306,65381,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
307,65976,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
308,75191У,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
309,75221,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
310,75516,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
311,80139,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
312,81002,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
313,81003,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
314,81033,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
315,81034,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
316,81038,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
317,85047,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
318,85124,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
319,582,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
320,639,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
321,4526,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
322,4570,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
323,5354Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
324,10181,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
325,10629,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
326,12717,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
327,12730,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
328,12841,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
329,13057,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
330,13901,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
331,15298,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
332,16680,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
333,16713,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
334,17942,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
335,19957,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
336,25779,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
337,26963,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
338,34571,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
339,35456,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
340,35959,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
341,36135,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
342,36157,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
343,36420,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
344,37096,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
345,37350,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
346,38080,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
347,39215,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
348,50756,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
349,430,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
350,565,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
351,570Е,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
352,653,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
353,1107Е,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
354,1207,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
355,1623В,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
356,2046Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
357,2546,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
358,2593,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
359,2954Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
360,3598,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
361,4124,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
362,5077,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
363,5482,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
364,5701,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
365,6097,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
366,6241Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
367,6378,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
368,6541,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
369,6664,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
370,6668,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
371,6950,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
372,7025,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
373,7039,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
374,7057,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
375,8222,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
376,9001,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
377,9423,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
378,9854,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
379,10035,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
380,10083,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
381,10279,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
382,10446,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
383,10970Е,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
384,11038С,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
385,11143,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
386,11185,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
387,11205,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
388,11435,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
389,11452,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
390,11485,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
391,11549,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
392,11580,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
393,11637,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
394,11660,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
395,11735,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
396,11771,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
397,11806,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
398,11838,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
399,11845,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
400,11926,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
401,11945,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
402,11970,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
403,11999,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
404,12038,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
405,12082,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
406,12242,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
407,12300,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
408,12445,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
409,12514,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
410,12561,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
411,12610,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
412,12752,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
413,12755,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
414,13167,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
415,13787,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
416,14119,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
417,14186,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
418,14632,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
419,14633,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
420,14721,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
421,15024,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
422,15105,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
423,15174,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
424,15239,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
425,15651,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
426,15720,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
427,15762,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
428,16372,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
429,16425,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
430,16568,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
431,16628,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
432,16646,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
433,16669,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
434,16729,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
435,16730,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
436,16765,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
437,16794,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
438,16886,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
439,17121,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
440,17236,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
441,17624,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
442,17660,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
443,17932,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
444,17942,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
445,18836,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
446,19151,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
447,19411,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
448,19516,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
449,19922,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
450,25504,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
451,26002,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
452,26340,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
453,27047,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
454,27054,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
455,27424,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
456,29975,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
457,30039,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
458,30046,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
459,30102,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
460,30173,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
461,30587,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
462,30699,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
463,30900,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
464,31482,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
465,31500,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
466,32759,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
467,35090,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
468,35150,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
469,35260,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
470,35344,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
471,35530,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
472,35680,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
473,35711,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
474,35782,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
475,35791,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
476,35852,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
477,35864,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
478,35943,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
479,36022,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
480,36043,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
481,36087,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
482,36091,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
483,36112,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
484,36119,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
485,36133,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
486,36135,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
487,36145,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
488,36157,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
489,36180,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
490,36215,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
491,36337,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
492,36438,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
493,37018,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
494,37023,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
495,37225,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
496,37262,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
497,37350,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
498,37514,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
499,37579,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
500,37592,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
501,37648,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
502,37833,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
503,38200,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
504,38301,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
505,38386,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
506,38409,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
507,38512,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
508,38617,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
509,38742,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
510,39065,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
511,39165,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
512,40061,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
513,40123,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
514,40151,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
515,40156,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
516,40217,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
517,40266,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
518,40392,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
519,40411,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
520,40413,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
521,40550,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
522,41218,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
523,41818,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
524,41893,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
525,43629,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
526,43796,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
527,51308,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
528,51390,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
529,60014,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
530,60016,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
531,65051,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
532,65080,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
533,65084,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
534,65381,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
535,75069,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
536,75279У,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
537,75410У,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
538,75484У,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
539,75486У,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
540,77203У,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
541,80670,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
542,80692,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
