Скважина,Наличие ГТМ,Тип ГТМ,Дата начала,Дата окончания,Обоснование
37670,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
37797,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
37811,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
37812,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
37813,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
37846,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
37982,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38024,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38028,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38098,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38102,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38164,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38184,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38232,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38298,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38601,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38617,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38907,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
39001,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
39010,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
39017,Да,Изменение частоты вращения ЭЦН,2026-05-12,2026-05-13,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 12.05.2026. Базовый дебит Q_base = 4.7 т/сут. Окончание эффекта: 13.05.2026.
39028,Да,Изменение частоты вращения ЭЦН,2026-02-14,2026-03-27,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 14.02.2026. Базовый дебит Q_base = 1.9 т/сут. Окончание эффекта: 27.03.2026.
39077,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
39142,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
39209,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
39321,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40002,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40005,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40059ЕБ,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40090,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40107,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40336,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40355,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40411,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40438,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40481,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40485,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40514,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40604,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40616,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40662,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40706,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40719,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40726,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40939,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
43510,Да,Изменение частоты вращения ЭЦН,2026-01-23,2026-01-24,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 23.01.2026. Базовый дебит Q_base = 1.7 т/сут. Окончание эффекта: 24.01.2026.
43635,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
43796,Да,Изменение частоты вращения ЭЦН,2026-06-07,2026-06-08,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 07.06.2026. Базовый дебит Q_base = 0.2 т/сут. Окончание эффекта: 08.06.2026.
50638,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
51340,Да,Изменение частоты вращения ЭЦН,2026-08-12,2026-08-26,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 12.08.2026. Базовый дебит Q_base = 9.8 т/сут. Окончание эффекта: 26.08.2026.
60018,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
61005,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
65153,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
65223,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
65381,Да,Изменение частоты вращения ЭЦН,2026-01-07,2026-01-08,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 07.01.2026. Базовый дебит Q_base = 0.7 т/сут. Окончание эффекта: 08.01.2026.
65976,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
75191У,Да,Изменение частоты вращения ЭЦН,2026-01-02,2026-08-31,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 02.01.2026. Базовый дебит Q_base = nan т/сут. Окончание эффекта: 31.08.2026.
75221,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
75516,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
80139,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
81002,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
81003,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
81033,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
81034,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
81038,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
85047,Да,Изменение частоты вращения ЭЦН,2026-05-04,2026-05-05,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 04.05.2026. Базовый дебит Q_base = 5.3 т/сут. Окончание эффекта: 05.05.2026.
85124,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
582,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
639,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
4526,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
4570,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
5354Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
10181,Да,Изменение частоты вращения ЭЦН,2026-01-03,2026-08-31,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 03.01.2026. Базовый дебит Q_base = nan т/сут. Окончание эффекта: 31.08.2026.
12717,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
12730,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
12841,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
13057,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
13901,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
15298,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
16680,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
16713,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
17942,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
19957,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
25779,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
26963,Да,Изменение частоты вращения ЭЦН,2026-02-03,2026-02-04,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 03.02.2026. Базовый дебит Q_base = 11.8 т/сут. Окончание эффекта: 04.02.2026.
34571,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35456,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35959,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
36135,Да,Изменение частоты вращения ЭЦН,2026-01-06,2026-01-07,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 06.01.2026. Базовый дебит Q_base = 16.0 т/сут. Окончание эффекта: 07.01.2026.
36157,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
36420,Да,Изменение частоты вращения ЭЦН,2026-05-16,2026-05-17,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 16.05.2026. Базовый дебит Q_base = 6.9 т/сут. Окончание эффекта: 17.05.2026.
37350,Да,Изменение частоты вращения ЭЦН,2026-04-06,2026-04-07,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 06.04.2026. Базовый дебит Q_base = 13.5 т/сут. Окончание эффекта: 07.04.2026.
38080,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
39215,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
50756,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
430,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
565,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
570Е,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
653,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
1107Е,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
1207,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
2046Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
2593,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
2954Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
3598,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
5077,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
5482,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
5701,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
6097,Да,Изменение частоты вращения ЭЦН,2026-08-17,2026-08-18,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 17.08.2026. Базовый дебит Q_base = 46.0 т/сут. Окончание эффекта: 18.08.2026.
6241Б,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
6541,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
6664,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
6668,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
6950,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
7025,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
7039,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
7057,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
8222,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
9001,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
10035,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
10279,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
10446,Да,Изменение частоты вращения ЭЦН,2026-08-26,2026-08-31,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 26.08.2026. Базовый дебит Q_base = 2.9 т/сут. Окончание эффекта: 31.08.2026.
10970Е,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11038С,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11143,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11185,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11435,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11452,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11485,Да,Изменение частоты вращения ЭЦН,2026-08-25,2026-08-31,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 25.08.2026. Базовый дебит Q_base = 3.1 т/сут. Окончание эффекта: 31.08.2026.
11549,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11580,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11637,Да,Изменение частоты вращения ЭЦН,2026-04-30,2026-05-01,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 30.04.2026. Базовый дебит Q_base = 2.4 т/сут. Окончание эффекта: 01.05.2026.
11660,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11735,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11771,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11806,Да,Изменение частоты вращения ЭЦН,2026-01-09,2026-01-10,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 09.01.2026. Базовый дебит Q_base = 20.0 т/сут. Окончание эффекта: 10.01.2026.
11838,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11845,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11926,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11945,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
11999,Да,Изменение частоты вращения ЭЦН,2026-03-02,2026-03-03,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 02.03.2026. Базовый дебит Q_base = 3.2 т/сут. Окончание эффекта: 03.03.2026.
12038,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
12082,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
12242,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
12300,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
12445,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
12561,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
12610,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
12752,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
12755,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
13167,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
13787,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
14119,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
14186,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
14632,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
14633,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
14721,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
15024,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
15105,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
15174,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
15239,Да,Изменение частоты вращения ЭЦН,2026-02-11,2026-03-12,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 11.02.2026. Базовый дебит Q_base = 0.8 т/сут. Окончание эффекта: 12.03.2026.
15651,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
15720,Да,Изменение частоты вращения ЭЦН,2026-03-30,2026-03-31,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 30.03.2026. Базовый дебит Q_base = 0.0 т/сут. Окончание эффекта: 31.03.2026.
16372,Да,Изменение частоты вращения ЭЦН,2026-07-14,2026-07-20,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 14.07.2026. Базовый дебит Q_base = 0.8 т/сут. Окончание эффекта: 20.07.2026.
16425,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
16568,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
16646,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
16669,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
16729,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
16730,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
16765,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
16794,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
16886,Да,Изменение частоты вращения ЭЦН,2026-08-24,2026-08-25,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 24.08.2026. Базовый дебит Q_base = 11.2 т/сут. Окончание эффекта: 25.08.2026.
17236,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
17660,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
17932,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
19151,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
19516,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
19922,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
25504,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
26002,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
26340,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
27047,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
27054,Да,Изменение частоты вращения ЭЦН,2026-02-15,2026-02-16,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 15.02.2026. Базовый дебит Q_base = 2.0 т/сут. Окончание эффекта: 16.02.2026.
27424,Да,Изменение частоты вращения ЭЦН,2026-08-08,2026-08-09,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 08.08.2026. Базовый дебит Q_base = 7.9 т/сут. Окончание эффекта: 09.08.2026.
29975,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
30039,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
30046,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
30102,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
30173,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
30587,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
30699,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
30900,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
31482,Да,Изменение частоты вращения ЭЦН,2026-03-17,2026-04-11,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 17.03.2026. Базовый дебит Q_base = 2.4 т/сут. Окончание эффекта: 11.04.2026.
31500,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
32759,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35090,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35150,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35260,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35344,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35530,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35680,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35711,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35782,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35791,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35852,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35864,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
35943,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
36022,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
36043,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
36087,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
36091,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
36119,Да,Изменение частоты вращения ЭЦН,2026-07-23,2026-07-24,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 23.07.2026. Базовый дебит Q_base = 19.2 т/сут. Окончание эффекта: 24.07.2026.
36133,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
36145,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
36180,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
36215,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
36337,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
36438,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
37018,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
37225,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
37262,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
37514,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
37579,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
37592,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
37648,Да,Изменение частоты вращения ЭЦН,2026-08-19,2026-08-20,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 19.08.2026. Базовый дебит Q_base = 3.1 т/сут. Окончание эффекта: 20.08.2026.
37833,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38200,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38301,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38386,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38409,Да,Изменение частоты вращения ЭЦН,2026-07-05,2026-07-06,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 05.07.2026. Базовый дебит Q_base = 8.5 т/сут. Окончание эффекта: 06.07.2026.
38512,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
38742,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
39065,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
39165,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40061,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40123,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40151,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40156,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40217,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40266,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40392,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40413,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
40550,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
41218,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
41818,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
41893,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
43629,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
51308,Да,Изменение частоты вращения ЭЦН,2026-06-06,2026-06-07,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 06.06.2026. Базовый дебит Q_base = 0.6 т/сут. Окончание эффекта: 07.06.2026.
51390,Да,Изменение частоты вращения ЭЦН,2026-08-04,2026-08-05,Зафиксирован старт 'Изменение частоты вращения ЭЦН' от 04.08.2026. Базовый дебит Q_base = 49.6 т/сут. Окончание эффекта: 05.08.2026.
60014,Нет,-,2026-01-01,2026-08-31,Признаков проведения насосных ГТМ не зафиксировано.
